pay_date,producttitle,productType,revenue,paymenttype,Source,user_type
02.04.2022,Продукт 1,Тип 1,1530,покупка,None,old
02.04.2022,Продукт 4,Тип 1,3315,покупка,Ютуб,new
02.04.2022,Продукт 6,Тип 2,7170,покупка,None,old
02.04.2022,Продукт 7,Тип 3,12000,в подарок,None,new
02.04.2022,Продукт 8,Тип 3,12800,в подарок,None,new
02.04.2022,Продукт 9,Тип 3,11600,в подарок,None,new
02.04.2022,Продукт 9,Тип 3,2800,в подарок,None,old
02.04.2022,Продукт 12,Тип 1,7140,покупка,None,new
02.04.2022,Продукт 12,Тип 1,1530,покупка,None,old
02.04.2022,Продукт 12,Тип 1,3570,покупка,Телеграм,old
02.04.2022,Продукт 13,Тип 2,3200,покупка,None,old
02.04.2022,Продукт 13,Тип 2,2275,покупка,Телеграм,new
02.04.2022,Продукт 14,Тип 4,1860,покупка,Блогер,new
02.04.2022,Продукт 15,Тип 4,1050,покупка,Телеграм,old
02.04.2022,Продукт 16,Тип 2,4960,покупка,None,old
02.04.2022,Продукт 17,Тип 2,2015,покупка,Ютуб,old
02.04.2022,Продукт 18,Тип 1,3060,в подарок,None,new
02.04.2022,Продукт 18,Тип 1,3060,в подарок,Блогер,new
02.04.2022,Продукт 18,Тип 1,12240,покупка,Блогер,new
02.04.2022,Продукт 23,Тип 1,19680,в подарок,None,new
02.04.2022,Продукт 24,Тип 2,7920,покупка,None,new
02.04.2022,Продукт 26,Тип 5,15555,покупка,None,old
02.04.2022,Продукт 27,Тип 2,4340,покупка,None,new
02.04.2022,Продукт 28,Тип 5,4080,покупка,None,new
02.04.2022,Продукт 28,Тип 5,4080,покупка,None,old
02.04.2022,Продукт 28,Тип 5,9945,покупка,Ютуб,new
02.04.2022,Продукт 28,Тип 5,3315,покупка,Ютуб,old
02.04.2022,Продукт 28,Тип 5,6630,покупка,Телеграм,new
02.04.2022,Продукт 28,Тип 5,6630,покупка,Телеграм,old
02.04.2022,Продукт 29,Тип 2,530,покупка,None,old
02.04.2022,Продукт 29,Тип 2,2170,покупка,Телеграм,old
02.04.2022,Продукт 60,Тип 2,2450,покупка,Телеграм,old
02.04.2022,Продукт 31,Тип 1,2730,покупка,None,old
02.04.2022,Продукт 68,Тип 4,2000,покупка,None,old
02.04.2022,Продукт 32,Тип 6,18000,покупка,None,new
02.04.2022,Продукт 32,Тип 6,10800,покупка,Блогер,new
02.04.2022,Продукт 34,Тип 2,2795,покупка,Ютуб,new
02.04.2022,Продукт 34,Тип 2,2580,покупка,Лидген,new
02.04.2022,Продукт 34,Тип 2,3010,покупка,Телеграм,old
02.04.2022,Продукт 39,Тип 5,2275,в подарок,Ютуб,new
02.04.2022,Продукт 39,Тип 5,22750,покупка,Ютуб,new
02.04.2022,Продукт 39,Тип 5,6825,покупка,Телеграм,new
02.04.2022,Продукт 39,Тип 5,4550,покупка,Телеграм,old
03.04.2022,Продукт 1,Тип 1,3570,покупка,None,new
03.04.2022,Продукт 3,Тип 2,4080,в подарок,None,new
03.04.2022,Продукт 3,Тип 2,4080,покупка,None,old
03.04.2022,Продукт 4,Тип 1,3315,в подарок,Ютуб,old
03.04.2022,Продукт 4,Тип 1,3315,покупка,Ютуб,new
03.04.2022,Продукт 5,Тип 7,4410,в подарок,None,new
03.04.2022,Продукт 5,Тип 7,9450,покупка,None,new
03.04.2022,Продукт 6,Тип 2,5040,в подарок,None,new
03.04.2022,Продукт 7,Тип 3,12000,в подарок,None,new
